Date,Location,Daily Max Temperature,Air Quality PM2.5,RH,Temperature,Building Density,Population Density,Latitude,Longitude,Clothing Factor,Activity Level,DI_1,DI_2,DI_3,Urban Heat Risk Composite,Urban Heat Risk,Risk Class
2025-02-13,Penrith ,29.7,5.7956250111262,43.1686668395996,28.5295001665751,368903.5,12093,-33.7511954,150.6941711,2.0,4,38117.622145919006,20274.302018819253,39323.44197299281,2.8,0.33333333333333326,Medium
2025-02-14,Penrith ,31.6,4.12808332840602,49.5359169642131,28.3970003128052,368903.5,12093,-33.7511954,150.6941711,2.0,4,38118.68909181953,20274.973850122093,39323.94894597232,2.8,0.33333333333333326,Medium
2025-02-15,Penrith ,28.1,2.7208749850591,54.7776247660319,28.3820832570394,368903.5,12093,-33.7511954,150.6941711,2.0,5,38119.692237428826,20275.745295776924,39324.44753536581,3.2,0.5555555555555556,Medium
2025-02-16,Penrith ,30.6,2.38129167755445,57.2470003763835,26.1435832977295,368903.5,12093,-33.7511954,150.6941711,2.0,5,38119.480604232354,20275.505139632525,39323.89401877572,3.2,0.5555555555555556,Medium
2025-02-17,Penrith ,24.4,4.07637496789296,60.2834997177124,24.755791982015,368903.5,12093,-33.7511954,150.6941711,3.0,3,38119.54107503493,20275.417929198342,39323.54669591387,3.0,0.4444444444444444,Medium
2025-02-18,Penrith ,25.2,4.0655833085378,62.1138747533162,24.6764167149862,368903.5,12093,-33.7511954,150.6941711,3.0,3,38119.88225829601,20275.671022888022,39323.701412491006,3.0,0.4444444444444444,Medium
2025-02-19,Penrith ,29.4,3.7522499759992,64.4057906468709,24.1128751436869,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.14024567008,20275.826924879348,39323.71769786378,3.0,0.4444444444444444,Medium
2025-02-20,Penrith ,29.6,3.75212500492732,66.5780423482259,23.84375,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.493945970135,20276.08546260297,39323.84072298507,3.0,0.4444444444444444,Medium
2025-02-21,Penrith ,22.7,3.56520833571752,67.3934173583984,23.3213747342428,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.48161672552,20276.049137537673,39323.730083309616,3.0,0.4444444444444444,Medium
2025-02-22,Penrith ,28.2,3.75520831346512,68.4594593048096,22.5423331260681,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.480112630124,20276.042783424255,39323.57352294028,3.0,0.4444444444444444,Medium
2025-02-23,Penrith ,30.4,3.20508333047231,70.3321903773717,22.619958559672,368903.5,12093,-33.7511954,150.6941711,2.5,3,38120.872933976425,20276.285580696094,39323.835458700145,2.7,0.2777777777777779,Low
2025-02-24,Penrith ,32.4,2.86912502845128,71.2424151102702,22.690416653951,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.14252052108,20276.589335184293,39323.98434359133,3.1,0.5,Medium
2025-02-25,Penrith ,32.3,3.51754166682561,71.1983757019043,22.5964766911098,368903.5,12093,-33.7511954,150.6941711,2.5,3,38121.070372314396,20276.456506778086,39323.92948149542,2.7,0.2777777777777779,Low
2025-02-26,Penrith ,22.9,3.76358334223429,68.3668746948242,22.0295416514079,368903.5,12093,-33.7511954,150.6941711,3.0,3,38120.30859576861,20275.901954118406,39323.38520621459,3.0,0.4444444444444444,Medium
2025-02-27,Penrith ,31.9,3.82311109701792,63.3987639745077,22.4605000813802,368903.5,12093,-33.7511954,150.6941711,3.0,3,38119.45021392901,20275.27340628107,39323.04220698079,3.0,0.4444444444444444,Medium
2025-02-28,Penrith ,35.0,3.80016666650772,57.5890417098999,23.4099583625793,368903.5,12093,-33.7511954,150.6941711,3.0,3,38118.570812517406,20274.6358708471,39322.79239793122,3.0,0.4444444444444444,Medium
2025-03-01,Penrith ,38.9,4.24893057346344,53.8990418116252,24.5675970713298,368903.5,12093,-33.7511954,150.6941711,3.0,3,38118.22498054107,20274.439095125592,39322.851009684804,3.0,0.4444444444444444,Medium
2025-03-02,Penrith ,35.0,4.29112497965495,49.1781244277954,26.0348335901896,368903.5,12093,-33.7511954,150.6941711,2.0,4,38117.92518746058,20274.354095808663,39323.09456044832,2.8,0.33333333333333326,Medium
2025-03-03,Penrith ,29.8,4.78449996312459,46.831916809082,27.2837498982747,368903.5,12093,-33.7511954,150.6941711,2.0,4,38117.87995832761,20274.3883999904,39323.321729143456,2.8,0.33333333333333326,Medium
2025-03-04,Penrith ,26.9,2.96349996328354,76.0999164581299,28.7208751042684,368903.5,12093,-33.7511954,150.6941711,1.5,5,38124.13259581923,20279.089731239277,39326.785472930474,2.9,0.38888888888888884,Medium
2025-03-05,Penrith ,26.9,5.58216655254364,75.2399991353353,29.8282502492269,368903.5,12093,-33.7511954,150.6941711,1.5,4,38124.45469155709,20279.430387415487,39327.167995828386,2.5,0.16666666666666652,Low
2025-03-06,Penrith ,28.7,3.14800002177556,74.9872907002767,30.7327082951864,368903.5,12093,-33.7511954,150.6941711,1.0,4,38124.48207063079,20279.278470682104,39327.41257697443,2.2,0.0,Low
2025-03-07,Penrith ,28.6,2.68354167540868,72.9483337402344,31.5032501220703,368903.5,12093,-33.7511954,150.6941711,1.0,5,38124.35899595221,20279.295593842864,39327.50514800051,2.6,0.22222222222222232,Low
2025-03-08,Penrith ,25.5,3.2175833384196,65.7919165293376,31.4838749567668,368903.5,12093,-33.7511954,150.6941711,1.0,4,38122.87530412674,20278.097393719356,39326.75942705472,2.2,0.0,Low
2025-03-09,Penrith ,24.1,4.44283336400986,58.239208539327,31.2138333320618,368903.5,12093,-33.7511954,150.6941711,1.0,4,38121.40627504389,20277.080764618517,39325.97090418835,2.2,0.0,Low
2025-03-10,Penrith ,28.4,3.27925000588099,53.0605834325155,29.1397080421448,368903.5,12093,-33.7511954,150.6941711,2.0,4,38119.53195409974,20275.560902026296,39324.51891865829,2.8,0.33333333333333326,Medium
2025-03-11,Penrith ,26.5,2.83904167016347,51.8314161300659,27.4842915534973,368903.5,12093,-33.7511954,150.6941711,2.0,5,38118.84547485908,20275.096641558408,39323.84459574024,3.2,0.5555555555555556,Medium
2025-03-12,Penrith ,23.3,2.47412500778834,52.6910413106283,26.3875834147135,368903.5,12093,-33.7511954,150.6941711,2.0,5,38118.65189578732,20274.89667080144,39323.5284645766,3.2,0.5555555555555556,Medium
